Word 1,Word 2,Human Judgement Score,Wu & Palmer,Path_length,Leacock Chodorow
automobile,car,3.92,1.0,1.0,3.6376
gem,jewel,3.84,1.0,1.0,1.5581
journey,voyage,3.84,0.9524,0.5,2.2513
boy,lad,3.76,0.9474,0.5,2.539
coast,shore,3.7,0.9091,0.5,2.9444
asylum,madhouse,3.61,0.9524,0.5,1.5581
magician,wizard,3.5,1.0,1.0,1.8458
midday,noon,3.42,1.0,1.0,3.6376
furnace,stove,3.11,0.5263,0.1,1.0726
food,fruit,3.08,0.4,0.1,1.2397
bird,cock,3.05,0.9524,0.5,0.865
bird,crane,2.97,0.8696,0.25,1.4404
implement,tool,2.95,0.9333,0.5,2.9444
brother,monk,2.82,0.9524,0.5,1.5581
brother,lad,1.66,0.6667,0.2,1.6917
crane,implement,1.68,0.75,0.2,1.335
car,journey,1.16,0.1053,0.0556,0.6419
monk,oracle,1.1,0.5714,0.125,1.5581
cemetery,woodland,0.95,0.4286,0.1111,1.4404
food,rooster,0.89,0.2105,0.0625,0.865
coast,hill,0.87,0.6667,0.2,2.0281
forest,graveyard,0.84,0.4286,0.1111,0.9985
shore,woodland,0.63,0.6,0.2,2.0281
monk,slave,0.55,0.6667,0.2,2.0281
coast,forest,0.42,0.5455,0.1667,1.2397
lad,wizard,0.42,0.6667,0.2,2.0281
cord,smile,0.13,0.2857,0.0909,1.0726
glass,magician,0.11,0.4706,0.125,1.4404
rooster,voyage,0.08,0.08,0.0417,0.4595
noon,string,0.08,0.2667,0.0833,0.8044
cord,smile,0.02,0.2857,0.0909,1.0726
rooster,voyage,0.04,0.08,0.0417,0.4595
noon,string,0.04,0.2667,0.0833,0.8044
fruit,furnace,0.05,0.5556,0.1111,1.1527
autograph,shore,0.06,0.1818,0.1,1.335
automobile,wizard,0.11,0.4,0.25,1.0726
mound,stove,0.14,0.6316,0.1429,1.0726
grin,implement,0.18,0.2,0.1111,1.0726
asylum,fruit,0.19,0.625,0.1429,1.335
asylum,monk,0.39,0.4444,0.0909,1.2397
graveyard,madhouse,0.42,0.3,0.0667,0.9295
glass,magician,0.44,0.4706,0.125,1.4404
boy,rooster,0.44,0.5217,0.0833,1.1527
cushion,jewel,0.45,0.625,0.1429,1.4404
monk,slave,0.57,0.6667,0.2,2.0281
asylum,cemetery,0.79,0.3529,0.0833,1.1527
coast,forest,0.85,0.5455,0.1667,1.2397
grin,lad,0.88,0.1538,0.0833,1.1527
shore,woodland,0.9,0.6,0.2,2.0281
monk,oracle,0.91,0.5714,0.125,1.5581
boy,sage,0.96,0.6316,0.1667,1.8458
automobile,cushion,0.97,0.6,0.1667,1.4404
mound,shore,0.97,0.6667,0.2,1.335
lad,wizard,0.99,0.6667,0.2,2.0281
forest,graveyard,1.0,0.4286,0.1111,0.9985
food,rooster,1.09,0.2105,0.0625,0.865
cemetery,woodland,1.18,0.4286,0.1111,1.4404
shore,voyage,1.22,0.2857,0.1667,0.9295
bird,woodland,1.24,0.4,0.1111,1.335
coast,hill,1.26,0.6667,0.2,2.0281
furnace,implement,1.37,0.5882,0.125,1.5581
crane,rooster,1.41,0.7407,0.125,1.0726
hill,woodland,1.48,0.5455,0.1667,1.8458
car,journey,1.55,0.1053,0.0556,0.6419
cemetery,mound,1.69,0.375,0.0909,0.9985
glass,jewel,1.78,0.5882,0.1667,1.2397
magician,oracle,1.82,0.6,0.1429,1.5581
crane,implement,2.37,0.75,0.2,1.335
brother,lad,2.41,0.6667,0.2,1.6917
sage,wizard,2.46,0.6316,0.1667,1.8458
oracle,sage,2.61,0.5714,0.1667,1.8458
bird,crane,2.63,0.8696,0.25,1.4404
bird,cock,2.63,0.9524,0.5,0.865
food,fruit,2.69,0.4,0.1,1.2397
brother,monk,2.74,0.9524,0.5,1.5581
asylum,madhouse,3.04,0.9524,0.5,1.5581
furnace,stove,3.11,0.5263,0.1,1.0726
magician,wizard,3.21,1.0,1.0,1.8458
hill,mound,3.29,1.0,1.0,1.2397
cord,string,3.41,0.9333,0.5,2.9444
glass,tumbler,3.45,0.9412,0.5,1.335
grin,smile,3.46,1.0,1.0,3.6376
serf,slave,3.46,0.6316,0.25,2.2513
journey,voyage,3.58,0.9524,0.5,2.2513
autograph,signature,3.59,0.9333,0.5,1.335
coast,shore,3.6,0.9091,0.5,2.9444
forest,woodland,3.65,1.0,1.0,1.6917
implement,tool,3.66,0.9333,0.5,2.9444
cock,rooster,3.68,1.0,1.0,0.6419
boy,lad,3.82,0.9474,0.5,2.539
cushion,pillow,3.84,0.9333,0.5,1.5581
cemetery,graveyard,3.88,1.0,1.0,3.6376
automobile,car,3.92,1.0,1.0,3.6376
midday,noon,3.94,1.0,1.0,3.6376
gem,jewel,3.94,1.0,1.0,1.5581
love,sex,6.77,0.9231,0.5,1.1527
tiger,cat,7.35,0.9655,0.5,1.2397
tiger,tiger,10.0,1.0,1.0,3.6376
book,paper,7.46,0.875,0.3333,1.0726
computer,keyboard,7.62,0.8235,0.25,2.2513
computer,internet,7.58,0.6316,0.125,1.5581
plane,car,5.77,0.7273,0.1429,1.4404
train,car,6.31,0.7368,0.1667,1.5581
telephone,communication,7.5,0.2,0.1111,0.9985
television,radio,6.77,0.9091,0.3333,2.539
media,radio,7.42,0.8235,0.25,2.2513
drug,abuse,6.85,0.3333,0.2,1.0726
bread,butter,6.19,0.75,0.3333,2.2513
cucumber,potato,5.92,0.8235,0.25,0.8044
doctor,nurse,7.0,0.8696,0.3333,2.2513
professor,doctor,6.62,0.5455,0.1429,1.6917
student,professor,6.81,0.5714,0.125,1.5581
smart,student,4.62,0.1818,0.1,0.9985
smart,stupid,5.81,0.4,0.25,0.9985
company,stock,7.08,0.6154,0.1667,1.2397
stock,market,8.08,0.5556,0.2,1.2397
stock,phone,1.62,0.7,0.1429,0.9295
stock,CD,1.31,0.7368,0.25,1.335
stock,jaguar,0.92,0.8148,0.1667,0.5931
stock,egg,1.81,0.625,0.1667,0.865
fertility,egg,6.69,0.1538,0.0833,0.9295
stock,live,3.73,0.4,0.25,1.6487
stock,life,0.92,0.6154,0.1667,1.335
book,library,7.46,0.8,0.3333,1.335
bank,money,8.12,0.5714,0.1429,1.1527
wood,forest,7.73,1.0,1.0,1.2397
money,cash,9.15,0.875,0.3333,2.2513
professor,cucumber,0.31,0.5,0.0769,1.0726
king,cabbage,0.23,0.5714,0.1,1.0726
king,queen,8.58,1.0,1.0,1.335
king,rook,5.92,0.9091,0.3333,0.9985
bishop,rabbi,6.69,0.5455,0.2,2.0281
Jerusalem,Israel,8.46,0.7,0.1429,1.6917
Jerusalem,Palestinian,7.65,0.2857,0.0625,0.865
holy,sex,1.62,0.3077,0.1,1.335
fuck,sex,9.44,0.8571,0.3333,2.539
Maradona,football,8.62,0.0,0.0,0.0
football,soccer,9.03,0.96,0.5,2.9444
football,basketball,6.81,0.9,0.3333,1.8458
football,tennis,6.63,0.7826,0.1667,1.8458
tennis,racket,7.56,0.6,0.1111,1.2397
Arafat,peace,6.73,0.1429,0.0769,1.0726
Arafat,terror,7.65,0.6316,0.1667,0.9295
Arafat,Jackson,2.5,0.5714,0.25,2.2513
law,lawyer,8.38,0.1667,0.0909,1.2397
movie,star,7.38,0.5333,0.125,1.5581
movie,popcorn,6.19,0.3636,0.0714,0.9295
movie,critic,6.73,0.4444,0.0909,1.2397
movie,theater,7.92,0.625,0.1429,1.6917
physics,proton,8.12,0.2222,0.0667,0.6419
physics,chemistry,7.35,0.9,0.3333,2.539
space,chemistry,4.88,0.4444,0.1667,1.2397
alcohol,chemistry,5.54,0.5714,0.2,0.865
vodka,gin,8.46,0.9091,0.3333,2.539
vodka,brandy,8.13,0.9091,0.3333,2.539
drink,car,3.04,0.2857,0.0909,0.8044
drink,ear,1.31,0.4615,0.125,0.9985
drink,mouth,5.96,0.5,0.2,0.865
drink,eat,6.87,0.3333,0.3333,2.1595
baby,mother,7.85,0.6316,0.2,1.4404
drink,mother,2.65,0.6154,0.2,0.865
car,automobile,8.94,1.0,1.0,3.6376
gem,jewel,8.96,1.0,1.0,1.5581
journey,voyage,9.29,0.9524,0.5,2.2513
boy,lad,8.83,0.9474,0.5,2.539
coast,shore,9.1,0.9091,0.5,2.9444
asylum,madhouse,8.87,0.9524,0.5,1.5581
magician,wizard,9.02,1.0,1.0,1.8458
midday,noon,9.29,1.0,1.0,3.6376
furnace,stove,8.79,0.5263,0.1,1.0726
food,fruit,7.52,0.4,0.1,1.2397
bird,cock,7.1,0.9524,0.5,0.865
bird,crane,7.38,0.8696,0.25,1.4404
tool,implement,6.46,0.9333,0.5,2.9444
brother,monk,6.27,0.9524,0.5,1.5581
crane,implement,2.69,0.75,0.2,1.335
lad,brother,4.46,0.6667,0.2,1.6917
journey,car,5.85,0.1538,0.0833,0.6419
monk,oracle,5.0,0.5714,0.125,1.5581
cemetery,woodland,2.08,0.4286,0.1111,1.4404
food,rooster,4.42,0.2105,0.0625,0.865
coast,hill,4.38,0.6667,0.2,2.0281
forest,graveyard,1.85,0.4286,0.1111,0.9985
shore,woodland,3.08,0.6,0.2,2.0281
monk,slave,0.92,0.6667,0.2,2.0281
coast,forest,3.15,0.5455,0.1667,1.2397
lad,wizard,0.92,0.6667,0.2,2.0281
chord,smile,0.54,0.375,0.125,1.2397
glass,magician,2.08,0.4706,0.125,1.4404
noon,string,0.54,0.2667,0.0833,0.8044
rooster,voyage,0.62,0.08,0.0417,0.4595
money,dollar,8.42,0.7778,0.2,1.4404
money,cash,9.08,0.875,0.3333,2.2513
money,currency,9.04,0.9333,0.5,2.539
money,wealth,8.27,0.9231,0.5,1.2397
money,property,7.57,0.8333,0.3333,1.4404
money,possession,7.29,0.7273,0.25,1.1527
money,bank,8.5,0.5714,0.1429,1.1527
money,deposit,7.73,0.875,0.3333,1.0726
money,withdrawal,6.88,0.2857,0.0909,0.9985
money,laundering,5.65,0.25,0.0769,1.0726
money,operation,3.31,0.3333,0.1111,1.335
tiger,jaguar,8.0,0.9333,0.3333,1.1527
tiger,feline,8.0,0.9286,0.3333,1.335
tiger,carnivore,7.08,0.8889,0.25,1.4404
tiger,mammal,6.85,0.8,0.1667,1.6917
tiger,animal,7.0,0.8,0.25,2.2513
tiger,organism,4.77,0.8571,0.3333,2.539
tiger,fauna,5.62,0.8,0.25,1.4404
tiger,zoo,5.87,0.5333,0.125,1.5581
psychology,psychiatry,8.08,0.7273,0.1429,1.6917
psychology,anxiety,7.0,0.25,0.0769,1.0726
psychology,fear,6.85,0.25,0.0769,1.0726
psychology,depression,7.42,0.3529,0.0833,1.0726
psychology,clinic,6.58,0.2353,0.0714,0.9985
psychology,doctor,6.42,0.3333,0.0769,0.8044
psychology,Freud,8.21,0.0952,0.05,0.6419
psychology,mind,7.69,0.5882,0.1429,1.6917
psychology,health,7.23,0.2667,0.0833,0.865
psychology,science,6.71,0.9412,0.5,2.9444
psychology,discipline,5.58,0.875,0.3333,2.539
psychology,cognition,7.48,0.6154,0.1667,1.8458
planet,star,8.45,0.8571,0.3333,2.539
planet,constellation,8.06,0.7692,0.25,0.9985
planet,moon,8.08,0.8,0.25,2.2513
planet,sun,8.02,0.8,0.25,2.2513
planet,galaxy,8.11,0.6316,0.125,1.2397
planet,space,7.92,0.5333,0.1429,1.335
planet,astronomer,7.94,0.6316,0.1667,1.335
precedent,example,5.85,0.9231,0.5,2.9444
precedent,information,3.85,0.8333,0.3333,1.4404
precedent,cognition,2.81,0.7273,0.25,2.2513
precedent,law,6.65,0.9091,0.5,1.4404
precedent,collection,2.5,0.8,0.3333,1.5581
precedent,group,1.77,0.6667,0.25,1.6917
precedent,antecedent,6.04,0.6154,0.1667,1.1527
cup,coffee,6.58,0.7619,0.1667,1.1527
cup,tableware,6.85,0.8889,0.3333,2.539
cup,article,2.4,0.75,0.2,1.6917
cup,artifact,2.92,0.7692,0.25,2.2513
cup,object,3.69,0.5455,0.2,1.8458
cup,entity,2.15,0.4,0.25,1.5581
cup,drink,7.25,0.8,0.2,0.9985
cup,food,5.0,0.6667,0.1667,1.335
cup,substance,1.92,0.5714,0.1667,1.4404
cup,liquid,5.9,0.7368,0.25,1.2397
jaguar,cat,7.42,0.9655,0.5,2.2513
jaguar,car,7.27,0.3333,0.0588,0.6931
energy,secretary,1.81,0.2857,0.0909,1.2397
secretary,senate,5.06,0.1333,0.0714,0.9985
energy,laboratory,5.09,0.3077,0.1,1.1527
computer,laboratory,6.78,0.4286,0.1111,1.1527
weapon,secret,6.06,0.2857,0.0909,0.9985
FBI,fingerprint,6.94,0.25,0.0769,1.0726
FBI,investigation,8.31,0.2222,0.0667,0.8044
investigation,effort,4.59,0.8235,0.25,1.1527
Mars,water,2.94,0.5,0.2,1.1527
Mars,scientist,5.63,0.4706,0.1,1.335
news,report,8.16,0.9231,0.5,1.5581
canyon,landscape,7.53,0.3529,0.0833,1.0726
image,surface,4.56,0.7143,0.2,1.1527
discovery,space,6.34,0.4,0.1429,1.6917
water,seepage,6.56,0.25,0.0833,0.9985
sign,recess,2.38,0.75,0.3333,1.2397
Wednesday,news,2.22,0.2667,0.0833,1.1527
mile,kilometer,8.66,0.8,0.25,2.2513
computer,news,4.47,0.1667,0.0909,0.9985
territory,surface,5.34,0.6154,0.1667,1.6917
atmosphere,landscape,3.69,0.5,0.1111,0.9295
president,medal,3.0,0.2353,0.0769,0.865
war,troops,8.13,0.3077,0.1429,1.2397
record,number,6.31,0.9091,0.5,1.335
skin,eye,6.22,0.6667,0.1667,1.5581
Japanese,American,6.5,0.6316,0.25,2.2513
theater,history,3.91,0.5,0.1429,1.0726
volunteer,motto,2.56,0.1818,0.1,0.9985
prejudice,recognition,3.0,0.6667,0.1667,1.1527
decoration,valor,5.63,0.2667,0.0833,1.0726
century,year,7.59,0.8333,0.3333,2.539
century,nation,3.16,0.3636,0.125,1.2397
delay,racism,1.19,0.625,0.1429,1.1527
delay,news,3.31,0.5333,0.125,1.4404
minister,party,6.63,0.6316,0.1667,1.0726
peace,plan,4.75,0.3077,0.1,1.335
minority,peace,3.69,0.6154,0.1667,1.5581
attempt,peace,4.25,0.3077,0.1111,1.335
government,crisis,6.56,0.5714,0.1429,1.1527
deployment,departure,4.25,0.7143,0.2,2.0281
deployment,withdrawal,5.88,0.7778,0.2,1.4404
energy,crisis,5.94,0.625,0.1429,0.9985
announcement,news,7.56,0.6667,0.2,2.0281
announcement,effort,2.75,0.3077,0.1,1.335
stroke,hospital,7.03,0.4,0.0909,0.7472
disability,death,5.47,0.5333,0.125,0.9985
victim,emergency,6.47,0.4444,0.1,1.0726
treatment,recovery,7.91,0.7692,0.25,1.2397
journal,association,4.97,0.4,0.1429,1.4404
doctor,personnel,5.0,0.2667,0.1111,0.9985
doctor,liability,5.19,0.2667,0.1111,0.9295
liability,insurance,7.03,0.625,0.1429,1.2397
school,center,3.44,0.875,0.3333,0.9985
reason,hypertension,2.31,0.5556,0.1111,1.1527
reason,criterion,5.91,0.5333,0.125,1.5581
hundred,percent,7.38,0.25,0.0769,1.0726
Harvard,Yale,8.13,0.9167,0.3333,2.539
hospital,infrastructure,4.63,0.2667,0.0833,0.9295
death,row,5.25,0.5,0.125,1.2397
death,inmate,5.03,0.2857,0.0909,1.0726
lawyer,evidence,6.69,0.1667,0.0909,1.1527
life,death,7.88,0.8571,0.3333,1.335
life,term,4.5,0.8571,0.3333,1.335
word,similarity,4.75,0.4545,0.1111,1.4404
board,recommendation,4.47,0.2667,0.1111,1.0726
governor,interview,3.25,0.1333,0.0714,0.865
OPEC,country,5.63,0.625,0.1429,1.6917
peace,atmosphere,3.69,0.7143,0.2,2.0281
peace,insurance,2.94,0.8235,0.25,1.335
territory,kilometer,5.28,0.25,0.0769,1.0726
travel,activity,5.0,0.6667,0.1667,1.8458
competition,price,6.44,0.5455,0.125,1.4404
consumer,confidence,4.13,0.1538,0.0833,0.9985
consumer,energy,4.75,0.3077,0.1,1.335
problem,airport,2.38,0.1333,0.0714,0.9985
car,flight,4.94,0.5882,0.125,0.865
credit,card,8.06,0.6154,0.1667,1.2397
credit,information,5.31,0.7273,0.25,2.2513
hotel,reservation,8.03,0.375,0.0909,1.2397
grocery,money,5.94,0.1333,0.0714,0.8044
registration,arrangement,6.0,0.6667,0.2,1.0726
arrangement,accommodation,5.41,0.6667,0.1429,1.0726
month,hotel,1.81,0.1538,0.0833,1.0726
type,kind,8.97,0.9474,0.5,2.9444
arrival,hotel,6.0,0.4706,0.1,0.9295
bed,closet,6.72,0.8421,0.25,1.335
closet,clothes,8.0,0.5882,0.125,1.5581
situation,conclusion,4.81,0.625,0.1429,1.2397
situation,isolation,3.88,0.7273,0.25,2.2513
impartiality,interest,5.16,0.4,0.1111,1.0726
direction,combination,2.25,0.6667,0.1429,1.2397
street,place,6.44,0.6154,0.1667,1.335
street,avenue,8.88,0.9474,0.5,0.6931
street,block,6.88,0.6667,0.1667,1.8458
street,children,4.94,0.4706,0.1,1.2397
listing,proximity,2.56,0.3158,0.0833,1.0726
listing,category,6.38,0.375,0.125,1.4404
cell,phone,7.81,0.9,0.3333,1.2397
production,hike,1.75,0.5882,0.125,1.5581
benchmark,index,4.25,0.7692,0.25,2.2513
media,trading,3.88,0.625,0.1429,0.9985
media,gain,2.88,0.5,0.1429,1.2397
dividend,payment,7.63,0.8889,0.3333,1.1527
dividend,calculation,6.48,0.2857,0.0909,0.865
calculation,computation,8.44,1.0,1.0,3.6376
currency,market,7.5,0.3077,0.1,1.2397
OPEC,oil,8.59,0.2353,0.0714,0.9295
oil,stock,6.34,0.5714,0.25,0.9985
announcement,production,3.38,0.5,0.1429,1.4404
announcement,warning,6.0,0.6154,0.1667,1.2397
profit,warning,3.88,0.4,0.25,0.9295
profit,loss,7.63,0.7059,0.1667,1.4404
dollar,yen,7.78,0.8,0.25,1.1527
dollar,buck,9.22,1.0,1.0,0.8044
dollar,profit,7.38,0.3077,0.1,0.9985
dollar,loss,6.09,0.3333,0.1111,1.335
computer,software,8.5,0.1429,0.0769,0.865
network,hardware,8.31,0.8,0.25,1.1527
phone,equipment,7.13,0.875,0.3333,2.539
equipment,maker,5.91,0.5,0.1111,1.4404
luxury,car,6.47,0.125,0.0667,0.8044
five,month,3.38,0.4615,0.125,1.4404
report,gain,3.63,0.4,0.25,1.4404
investor,earning,7.13,0.0,0.0,0.0
liquid,water,7.89,0.9333,0.5,1.6917
baseball,season,5.97,0.2222,0.0667,0.9295
game,victory,7.03,0.5714,0.1429,1.6917
game,team,7.69,0.3077,0.1,1.2397
marathon,sprint,7.47,0.5,0.0909,1.2397
game,series,6.19,0.8571,0.3333,1.335
game,defeat,6.97,0.5714,0.1429,1.6917
seven,series,3.56,0.375,0.1111,1.2397
seafood,sea,7.47,0.3636,0.125,1.5581
seafood,food,8.34,0.9091,0.5,1.8458
seafood,lobster,8.7,0.8571,0.3333,2.539
lobster,food,7.81,0.7692,0.25,1.5581
lobster,wine,5.7,0.375,0.0909,1.2397
food,preparation,6.22,0.5714,0.1429,1.2397
video,archive,6.34,0.5556,0.1111,1.1527
start,year,4.06,0.5455,0.1667,1.335
start,match,4.47,0.5714,0.25,0.9295
game,round,5.97,0.8889,0.3333,0.9295
boxing,round,7.61,0.7273,0.25,0.7472
championship,tournament,8.36,0.8571,0.3333,1.2397
fighting,defeating,7.41,0.5,0.3333,2.1595
line,insurance,2.69,0.7143,0.2,1.335
day,summer,3.94,0.7692,0.25,1.6917
summer,drought,7.16,0.7692,0.25,1.2397
summer,nature,5.63,0.3333,0.1429,1.4404
day,dawn,7.53,0.8333,0.3333,1.1527
nature,environment,8.31,0.5455,0.1667,1.8458
environment,ecology,8.81,0.9231,0.5,2.9444
nature,man,6.25,0.6667,0.25,1.335
man,woman,8.3,0.7059,0.3333,2.539
man,governor,5.25,0.6667,0.2,1.8458
murder,manslaughter,8.53,0.9167,0.3333,2.539
soap,opera,7.94,0.2353,0.0714,0.9295
opera,performance,6.88,0.3077,0.1,1.2397
life,lesson,5.94,0.4286,0.125,0.9985
focus,life,4.06,0.5333,0.1429,1.1527
production,crew,6.25,0.3636,0.125,1.335
television,film,7.72,0.7778,0.2,1.4404
lover,quarrel,6.19,0.4,0.0769,1.0726
viewer,serial,2.97,0.5,0.0909,1.0726
possibility,girl,1.94,0.1667,0.0909,0.9985
population,development,3.75,0.7273,0.1429,1.1527
morality,importance,3.31,0.6667,0.2,2.0281
morality,marriage,3.69,0.5455,0.1667,1.5581
Mexico,Brazil,7.44,0.8,0.2,2.0281
gender,equality,6.41,0.4615,0.125,1.335
change,attitude,5.44,0.5455,0.1667,1.8458
family,planning,6.25,0.3077,0.1,1.1527
opera,industry,2.63,0.2857,0.0909,1.1527
sugar,approach,0.88,0.2857,0.1429,0.6931
practice,institution,3.19,0.8333,0.3333,1.335
ministry,culture,4.69,0.5333,0.125,1.5581
problem,challenge,6.75,0.6154,0.1667,1.8458
size,prominence,5.31,0.6154,0.1667,1.5581
country,citizen,7.31,0.4286,0.1111,1.0726
planet,people,5.75,0.2,0.1111,1.335
development,issue,3.97,0.75,0.25,1.2397
experience,music,3.47,0.6154,0.1667,1.4404
music,project,3.63,0.8,0.25,1.335
glass,metal,5.56,0.5455,0.25,1.8458
aluminum,metal,7.83,0.9333,0.5,2.9444
chance,credibility,3.88,0.5,0.1667,1.6917
exhibit,memorabilia,5.31,0.4286,0.1111,1.4404
concert,virtuoso,6.81,0.2857,0.1667,1.0726
rock,jazz,7.59,0.875,0.3333,1.0726
museum,theater,7.19,0.625,0.1429,1.6917
observation,architecture,4.38,0.7059,0.1667,0.9295
space,world,6.53,0.5714,0.2,1.4404
preservation,world,6.19,0.5882,0.1429,1.0726
admission,ticket,7.69,0.5714,0.1429,0.9985
shower,thunderstorm,6.31,0.7,0.1429,0.9985
shower,flood,6.03,0.6364,0.2,1.1527
weather,forecast,8.34,0.25,0.1429,0.9985
disaster,area,6.25,0.5,0.1111,0.9985
governor,office,6.34,0.5263,0.1,1.1527
architecture,century,3.78,0.3077,0.1,1.0726
